-93.6,-7.2,0.055999999999999994,102.2,1.8
-94.9,-6.1,0.015,100.2,5.5
-95.6,-7.6,0.013999999999999999,100.2,9.0
-94.6,-6.6,0.015,100.4,2.4
-95.4,-6.8,0.013999999999999999,100.2,1.3
-93.8,-7.0,0.05,101.7,3.4
-93.5,-7.7,0.046,101.5,9.6
-93.1,-6.9,0.049,102.1,7.0
-94.9,-6.6,0.015,100.2,7.5
-93.5,-7.8,0.05,101.5,3.6
-94.9,-6.2,0.019,100.4,3.3
-94.4,-7.3,0.042,101.3,8.1
-95.0,-6.4,0.013999999999999999,100.2,2.2
-95.1,-6.4,0.015,100.1,3.7
-92.9,-7.0,0.044000000000000004,101.4,2.3
-94.3,-5.6,0.02,100.4,3.5
-94.4,-7.5,0.039,101.1,9.5
-93.6,-7.1,0.043,101.3,8.4
-95.2,-7.0,0.013999999999999999,100.1,1.8
-95.3,-6.8,0.016,100.2,8.9
-93.4,-7.1,0.046,101.3,1.8
-94.8,-6.6,0.013999999999999999,100.2,2.0
-93.9,-7.4,0.055999999999999994,101.4,4.1
-93.7,-7.2,0.051,101.5,7.3
-95.0,-7.2,0.033,101.0,7.5
-93.7,-7.5,0.05,101.4,3.8
-93.5,-7.8,0.04,101.0,5.6
-94.3,-7.2,0.040999999999999995,101.3,3.6
-95.1,-6.9,0.015,100.1,6.1
-95.7,-6.6,0.019,100.2,2.5
-94.7,-5.8,0.015,100.2,3.1
-95.1,-7.5,0.045,101.7,8.6
-92.4,-7.0,0.066,102.1,8.0
-93.1,-7.2,0.055999999999999994,102.2,8.3
-94.4,-7.2,0.049,102.0,6.3
-94.1,-7.0,0.051,101.8,1.3
-93.0,-6.8,0.047,101.4,1.7
-94.9,-6.2,0.015,99.8,3.5
-94.4,-7.1,0.031,101.3,8.5
-94.3,-7.0,0.042,101.2,0.9
-94.8,-7.3,0.039,101.4,0.4
-94.9,-6.3,0.015,99.9,2.5
-93.3,-7.0,0.05,101.7,8.1
-95.0,-7.0,0.016,99.7,9.3
-94.6,-6.1,0.013000000000000001,100.4,0.0
-94.6,-7.0,0.013999999999999999,100.2,8.0
-93.6,-7.4,0.055,101.8,6.6
-93.3,-6.6,0.054000000000000006,102.3,8.8
-94.3,-7.1,0.042,101.3,3.6
-95.0,-6.5,0.016,100.6,3.2
-94.9,-6.2,0.015,100.3,1.2
-93.9,-7.2,0.04,101.3,8.6
-94.2,-7.2,0.051,102.4,7.6
-93.8,-7.1,0.048,101.3,4.1
-93.9,-7.1,0.047,100.9,0.2
-95.4,-6.2,0.019,100.4,5.4
-94.3,-6.2,0.017,100.3,6.3
-94.9,-7.5,0.025,101.1,8.2
-93.3,-7.8,0.045,101.5,9.5
-93.9,-7.0,0.044000000000000004,101.8,6.4
-94.2,-7.3,0.039,101.2,6.3
-92.9,-7.0,0.059000000000000004,101.6,7.6
-95.3,-6.8,0.013000000000000001,99.7,6.1
-93.5,-7.0,0.048,101.8,1.6
-95.2,-6.9,0.016,100.2,0.3
-93.3,-7.0,0.057,102.3,6.3
-92.6,-7.2,0.061,101.9,4.6
-93.1,-6.8,0.057,102.3,2.6
-95.9,-6.9,0.015,100.2,1.3
-92.3,-7.4,0.069,102.3,4.5
-95.4,-6.6,0.013999999999999999,100.3,8.8
-95.0,-8.0,0.035,101.0,8.5
-94.0,-6.6,0.045,101.6,2.2
-94.1,-6.8,0.048,101.8,9.5
-94.8,-7.3,0.044000000000000004,101.4,0.4
-93.7,-7.1,0.061,101.8,1.9
-93.7,-6.7,0.055,102.5,4.4
-93.8,-7.2,0.048,101.8,7.5
-94.5,-5.8,0.013999999999999999,100.2,5.4
-95.0,-8.0,0.035,100.5,4.2
-94.0,-7.3,0.051,101.6,3.5
-94.6,-6.6,0.015,99.9,7.1
-93.7,-7.2,0.046,101.5,8.5
-94.6,-6.1,0.012,100.4,8.9
-94.8,-6.6,0.013999999999999999,99.7,7.9
-94.6,-7.0,0.045,101.5,6.1
-93.3,-7.5,0.057999999999999996,101.8,3.6
-93.5,-7.5,0.057999999999999996,102.2,7.3
-94.7,-6.9,0.016,100.2,4.3
-95.0,-6.6,0.016,100.4,7.8
-95.0,-6.4,0.013999999999999999,100.7,0.0
-94.0,-6.1,0.045,101.6,5.2
-93.7,-6.7,0.06,102.5,3.6
-92.1,-6.2,0.064,102.0,3.5
-93.6,-7.6,0.043,101.3,2.2
-94.7,-6.3,0.015,100.2,1.1
-94.3,-7.2,0.036000000000000004,101.3,5.9
-94.6,-7.6,0.033,101.0,2.7
-93.2,-6.8,0.059000000000000004,102.3,2.1
-94.5,-6.5,0.008,100.2,0.2
-95.6,-6.9,0.015,100.1,6.9
-93.7,-6.6,0.055999999999999994,102.4,5.4
-92.7,-6.6,0.063,101.8,4.9
-94.9,-6.5,0.013999999999999999,100.2,9.4
-94.0,-7.1,0.045,101.5,9.4
-93.2,-7.2,0.053,101.4,8.6
-95.0,-6.7,0.013999999999999999,100.2,9.6
-92.8,-6.4,0.061,102.5,7.7
-94.4,-7.5,0.044000000000000004,101.1,9.3
-93.6,-7.2,0.055999999999999994,102.1,5.2
-93.9,-7.4,0.055999999999999994,100.9,0.6
-93.7,-6.6,0.051,102.4,6.1
-94.3,-7.4,0.035,101.0,3.7
-94.5,-7.6,0.038,101.1,2.2
-94.9,-6.3,0.015,100.4,0.3
-94.6,-6.3,0.015,100.2,7.2
-94.9,-7.5,0.03,101.1,0.6
-93.8,-7.8,0.045,101.5,0.7
-93.3,-6.9,0.042,101.5,6.0
-94.9,-6.2,0.016,100.2,9.0
-93.3,-6.9,0.055999999999999994,102.4,6.2
-94.5,-7.5,0.04,101.8,3.8
